Model,Error_Type,n_estimators,learning_rate,max_depth,colsample_bytree,R²,RMSE,MAE
XGBoost,Train,100,0.05,20,0.8,0.9982019234951836,0.03642328897129074,0.015036121479319316
XGBoost,Train,100,0.05,20,0.5,0.9981803119115449,0.03664152600783537,0.015349228829314582
XGBoost,Train,300,0.2,7,0.8,0.9974366538216922,0.043488928451732224,0.024620165220904617
XGBoost,Train,100,0.2,10,0.7,0.9973864406318144,0.0439128132841928,0.024276064358413885
XGBoost,Train,100,0.2,10,0.8,0.9973764589618885,0.04399658897737948,0.02446584642838586
XGBoost,Train,300,0.2,7,0.7,0.9973391515324663,0.04430830612938776,0.02544746436440965
XGBoost,Train,300,0.2,7,0.5,0.997273114058064,0.04485476263492242,0.02571521202622533
XGBoost,Train,300,0.3,6,0.8,0.9969663495373519,0.04731053358993321,0.0286467356559935
XGBoost,Train,300,0.3,6,1.0,0.996890932652799,0.04789499597688213,0.029078050422656213
XGBoost,Train,300,0.3,6,0.7,0.9966262947293801,0.04989173950186777,0.03071636013448109
XGBoost,Train,100,0.05,15,0.8,0.9965689764999229,0.05031377724051438,0.027957063909935933
XGBoost,Train,100,0.05,15,0.7,0.9964658519631618,0.051064307284770766,0.0286101882974147
XGBoost,Train,300,0.3,6,0.5,0.9964229398025224,0.051373387167798615,0.03208584689750949
XGBoost,Train,100,0.05,15,0.5,0.99606932039654,0.05385287565686407,0.030670296310827086
XGBoost,Train,300,0.05,10,0.7,0.9941540321219586,0.0656754850004054,0.04321515712765437
XGBoost,Train,300,0.05,10,0.5,0.9934602682929186,0.06946324092049745,0.046392752419580276
XGBoost,Train,300,0.05,10,0.8,0.993386093705539,0.06985606129114103,0.046071391348220976
XGBoost,Train,300,0.2,6,1.0,0.990888567358878,0.08199142052123289,0.058174926949039925
XGBoost,Train,300,0.2,6,0.7,0.9899486291163048,0.08611676863862328,0.060198130522869014
XGBoost,Train,300,0.2,6,0.8,0.9899319074903603,0.08618837150752327,0.06060350680109192
XGBoost,Train,300,0.01,20,0.7,0.9898478055045761,0.08654760234445961,0.06201819183052315
XGBoost,Train,300,0.01,20,0.5,0.9896142054183811,0.08753766149316168,0.0628439053554316
XGBoost,Train,300,0.3,5,1.0,0.985883646906024,0.10205548071928044,0.07383513738329316
XGBoost,Train,100,0.1,10,1.0,0.9856756924123282,0.1028044455930869,0.07211583890907765
XGBoost,Train,100,0.1,10,0.5,0.9843504425963009,0.10745487072819866,0.07568588815470231
XGBoost,Train,300,0.3,5,0.7,0.9843110173626086,0.10759013872561543,0.07787701061176444
XGBoost,Train,100,0.1,10,0.8,0.9833826689270336,0.11072755558847419,0.0777779191022462
XGBoost,Train,100,0.3,7,0.8,0.9830673445763871,0.1117731811925899,0.07957256791732789
XGBoost,Train,300,0.01,15,0.8,0.9820477990645997,0.1150890291657906,0.08220266346668019
XGBoost,Train,300,0.01,15,1.0,0.9820235701389202,0.1151666670921813,0.08270811997771275
XGBoost,Train,300,0.01,15,0.7,0.9819723234600191,0.11533070714328165,0.08256134801615593
XGBoost,Train,100,0.3,7,0.7,0.9819230239046461,0.11548829458188349,0.08358893190295115
